股票,市场,名称,行业模型,优质池等级,综合优质分,基础理论分,去短历史封顶分,去短历史封顶等级,是否因历史数据封顶,是否因历史数据受限,是否因排雷状态扣分,是否因规则AI分歧扣分,封顶原因,规则质量评级,规则质量分,AI评级,数据年数,历史可信度,数据质量,数据质量分,风险扣分,质量理由,综合观察
KO,US,Coca-Cola Company (The) Common Stock,消费,可研究池,74.0,88.9,84.9,优质池,是,是,是,否,短历史封顶生效；排雷状态扣分,优质候选,95,优质候选,4,C 短历史,Medium,80,短历史封顶；排雷需关注,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率略高但未构成硬伤；营收增长处于可接受区间,规则与AI均认可财务质量，排雷侧主要提示杠杆风险；可视为高质量消费公司需关注负债的典型情形；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
OTTR,US,Otter Tail Corporation - Common Stock,通用,优质池,78.0,84.9,84.9,优质池,是,是,否,否,短历史封顶生效,优质候选,93,可跟踪,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长偏弱,规则和AI评级不完全一致，可作为人工复核优先项
300488,CN,恒锋工具,通用,优质池,84.9,84.9,84.9,优质池,否,否,否,否,综合分未达核心阈值,优质候选,89,可跟踪,10,A 完整历史,High,100,-,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,规则和AI评级不完全一致，可作为人工复核优先项
300580,CN,贝斯特,通用,优质池,84.9,84.9,84.9,优质池,否,否,否,否,综合分未达核心阈值,优质候选,89,可跟踪,10,A 完整历史,High,100,-,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,规则和AI评级不完全一致，可作为人工复核优先项
603373,CN,安邦护卫,通用,优质池,84.9,84.9,84.9,优质池,否,否,否,否,综合分未达核心阈值,优质候选,89,可跟踪,8,B 中等历史,High,100,-,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,规则和AI评级不完全一致，可作为人工复核优先项
920751,CN,惠同新材,通用,优质池,84.9,84.9,84.9,优质池,否,否,否,否,综合分未达核心阈值,优质候选,89,可跟踪,10,A 完整历史,High,100,-,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,规则和AI评级不完全一致，可作为人工复核优先项
001285,CN,瑞立科密,通用,优质池,84.9,87.9,84.9,优质池,否,否,否,是,规则AI分歧扣分,可跟踪,83,优质候选,10,A 完整历史,High,100,规则AI分歧,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；经营现金流存在瑕疵；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,AI认为质量突出，规则侧可能因单项风险保守处理
002615,CN,哈尔斯,通用,优质池,84.8,84.8,84.8,优质池,否,否,否,否,综合分未达核心阈值,优质候选,100,可跟踪,10,A 完整历史,High,100,-,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,规则和AI评级不完全一致，可作为人工复核优先项
603680,CN,今创集团,通用,优质池,84.8,84.8,84.8,优质池,否,否,否,否,综合分未达核心阈值,优质候选,100,可跟踪,10,A 完整历史,High,100,-,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,规则和AI评级不完全一致，可作为人工复核优先项
PWR,US,"Quanta Services, Inc. Common Stock",周期,可研究池,74.0,88.8,84.8,优质池,是,是,是,否,短历史封顶生效；排雷状态扣分,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶；排雷需关注,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则与AI均认可质量，排雷侧因单项风险给出需关注状态，适合进入人工复核清单；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
301173,CN,毓恬冠佳,通用,优质池,84.8,84.8,84.8,优质池,否,否,否,否,综合分未达核心阈值,优质候选,98,可跟踪,6,B 中等历史,Medium,75,-,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,规则和AI评级不完全一致，可作为人工复核优先项
300401,CN,花园生物,通用,优质池,84.8,84.8,84.8,优质池,否,否,否,否,综合分未达核心阈值,优质候选,97,可跟踪,10,A 完整历史,High,100,-,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长处于可接受区间,规则和AI评级不完全一致，可作为人工复核优先项
300943,CN,春晖智控,通用,优质池,84.8,84.8,84.8,优质池,否,否,否,否,综合分未达核心阈值,优质候选,97,可跟踪,10,A 完整历史,High,100,-,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长处于可接受区间,规则和AI评级不完全一致，可作为人工复核优先项
600801,CN,华新建材,通用,优质池,84.8,84.8,84.8,优质池,否,否,否,否,综合分未达核心阈值,优质候选,97,可跟踪,10,A 完整历史,High,100,-,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长处于可接受区间,规则和AI评级不完全一致，可作为人工复核优先项
920122,CN,中纺标,通用,优质池,84.8,84.8,84.8,优质池,否,否,否,否,综合分未达核心阈值,优质候选,97,可跟踪,10,A 完整历史,High,100,-,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长处于可接受区间,规则和AI评级不完全一致，可作为人工复核优先项
RAY,US,Raytech Holding Limited - Ordinary Shares,消费,可研究池,74.0,88.8,84.8,优质池,是,是,是,否,短历史封顶生效；排雷状态扣分,优质候选,95,优质候选,4,C 短历史,Medium,80,短历史封顶；排雷需关注,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE波动偏大；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则与AI均认可质量，排雷侧因单项风险给出需关注状态，适合进入人工复核清单；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
300320,CN,海达股份,通用,优质池,84.8,84.8,84.8,优质池,否,否,否,否,综合分未达核心阈值,优质候选,89,可跟踪,10,A 完整历史,High,100,-,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,规则和AI评级不完全一致，可作为人工复核优先项
601965,CN,中国汽研,通用,优质池,84.8,84.8,84.8,优质池,否,否,否,否,综合分未达核心阈值,优质候选,89,可跟踪,10,A 完整历史,High,100,-,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,规则和AI评级不完全一致，可作为人工复核优先项
603663,CN,三祥新材,通用,优质池,84.8,84.8,84.8,优质池,否,否,否,否,综合分未达核心阈值,优质候选,89,可跟踪,10,A 完整历史,High,100,-,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,规则和AI评级不完全一致，可作为人工复核优先项
PDEX,US,"Pro-Dex, Inc. - Common Stock",通用,优质池,78.0,84.8,84.8,优质池,是,是,否,否,短历史封顶生效,优质候选,89,可跟踪,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；经营现金流存在瑕疵；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则和AI评级不完全一致，可作为人工复核优先项
DY,US,"Dycom Industries, Inc. Common Stock",周期,可研究池,74.0,88.7,84.7,优质池,是,是,是,否,短历史封顶生效；排雷状态扣分,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶；排雷需关注,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则与AI均认可质量，排雷侧因单项风险给出需关注状态，适合进入人工复核清单；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
RDVT,US,"Red Violet, Inc. - Common Stock",科技,优质池,78.0,84.7,84.7,优质池,是,是,否,否,短历史封顶生效,优质候选,95,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
LNTH,US,"Lantheus Holdings, Inc. - Common Stock",通用,可研究池,74.0,88.7,84.7,优质池,是,是,是,否,短历史封顶生效；排雷状态扣分,优质候选,95,优质候选,4,C 短历史,Medium,80,短历史封顶；排雷需关注,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE波动偏大；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则与AI均认可质量，排雷侧因单项风险给出需关注状态，适合进入人工复核清单；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
ASO,US,"Academy Sports and Outdoors, Inc. - Common Stock",消费,优质池,78.0,84.7,84.7,优质池,是,是,否,否,短历史封顶生效,优质候选,93,可跟踪,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长偏弱,规则和AI评级不完全一致，可作为人工复核优先项
PRG,US,"PROG Holdings, Inc. Common Stock",通用,优质池,78.0,84.7,84.7,优质池,是,是,否,否,短历史封顶生效,优质候选,93,可跟踪,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长偏弱,规则和AI评级不完全一致，可作为人工复核优先项
301298,CN,东利机械,通用,优质池,84.7,84.7,84.7,优质池,否,否,否,否,综合分未达核心阈值,优质候选,89,可跟踪,10,A 完整历史,High,100,-,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,规则和AI评级不完全一致，可作为人工复核优先项
301499,CN,维科精密,通用,优质池,84.7,84.7,84.7,优质池,否,否,否,否,综合分未达核心阈值,优质候选,89,可跟踪,8,B 中等历史,High,100,-,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,规则和AI评级不完全一致，可作为人工复核优先项
000651,CN,格力电器,通用,优质池,84.7,87.7,84.7,优质池,否,否,否,是,规则AI分歧扣分,可跟踪,87,优质候选,10,A 完整历史,High,100,规则AI分歧,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长偏弱,AI认为质量突出，规则侧可能因单项风险保守处理
301397,CN,溯联股份,通用,优质池,84.7,87.7,84.7,优质池,否,否,否,是,规则AI分歧扣分,可跟踪,83,优质候选,8,B 中等历史,High,100,规则AI分歧,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；经营现金流存在瑕疵；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,AI认为质量突出，规则侧可能因单项风险保守处理
688257,CN,新锐股份,通用,优质池,84.7,87.7,84.7,优质池,否,否,否,是,规则AI分歧扣分,可跟踪,83,优质候选,10,A 完整历史,High,100,规则AI分歧,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；经营现金流存在瑕疵；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,AI认为质量突出，规则侧可能因单项风险保守处理
003018,CN,金富科技,科技,优质池,84.6,84.6,84.6,优质池,否,否,否,否,综合分未达核心阈值,优质候选,97,可跟踪,10,A 完整历史,High,100,-,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长处于可接受区间,规则和AI评级不完全一致，可作为人工复核优先项
TTC,US,Toro Company (The) Common Stock,通用,优质池,78.0,84.6,84.6,优质池,是,是,否,否,短历史封顶生效,优质候选,93,可跟踪,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长偏弱,规则和AI评级不完全一致，可作为人工复核优先项
300962,CN,中金辐照,通用,优质池,84.6,84.6,84.6,优质池,否,否,否,否,综合分未达核心阈值,优质候选,89,可跟踪,10,A 完整历史,High,100,-,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,规则和AI评级不完全一致，可作为人工复核优先项
INVA,US,"Innoviva, Inc. - Common Stock",科技,可研究池,74.0,88.6,84.6,优质池,是,是,是,否,短历史封顶生效；排雷状态扣分,优质候选,89,优质候选,4,C 短历史,Medium,80,短历史封顶；排雷需关注,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE波动偏大；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长处于可接受区间,规则与AI均认可质量，排雷侧因单项风险给出需关注状态，适合进入人工复核清单；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
603786,CN,科博达,通用,优质池,84.6,87.6,84.6,优质池,否,否,否,是,规则AI分歧扣分,可跟踪,83,优质候选,10,A 完整历史,High,100,规则AI分歧,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；经营现金流存在瑕疵；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,AI认为质量突出，规则侧可能因单项风险保守处理
WT,US,"WisdomTree, Inc. Common Stock",通用,可研究池,74.0,88.5,84.5,优质池,是,是,是,否,短历史封顶生效；排雷状态扣分,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶；排雷需关注,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率略高但未构成硬伤；营收增长达到行业较好水平,规则与AI均认可质量，排雷侧因单项风险给出需关注状态，适合进入人工复核清单；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
002048,CN,宁波华翔,通用,优质池,84.5,84.5,84.5,优质池,否,否,否,否,综合分未达核心阈值,优质候选,89,可跟踪,10,A 完整历史,High,100,-,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,规则和AI评级不完全一致，可作为人工复核优先项
002206,CN,海 利 得,通用,优质池,84.5,84.5,84.5,优质池,否,否,否,否,综合分未达核心阈值,优质候选,89,可跟踪,10,A 完整历史,High,100,-,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,规则和AI评级不完全一致，可作为人工复核优先项
300628,CN,亿联网络,通用,优质池,84.5,88.5,84.5,优质池,否,否,是,否,排雷状态扣分,优质候选,89,优质候选,10,A 完整历史,High,100,排雷需关注,数据质量高；长期ROE达到行业优秀线；ROE波动偏大；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,规则与AI均认可质量，排雷侧因单项风险给出需关注状态，适合进入人工复核清单
301220,CN,亚香股份,通用,优质池,84.5,84.5,84.5,优质池,否,否,否,否,综合分未达核心阈值,优质候选,89,可跟踪,10,A 完整历史,High,100,-,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,规则和AI评级不完全一致，可作为人工复核优先项
600483,CN,福能股份,通用,优质池,84.5,84.5,84.5,优质池,否,否,否,否,综合分未达核心阈值,优质候选,89,可跟踪,10,A 完整历史,High,100,-,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,规则和AI评级不完全一致，可作为人工复核优先项
603037,CN,凯众股份,通用,优质池,84.5,84.5,84.5,优质池,否,否,否,否,综合分未达核心阈值,优质候选,89,可跟踪,10,A 完整历史,High,100,-,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,规则和AI评级不完全一致，可作为人工复核优先项
603829,CN,洛凯股份,通用,优质池,84.5,84.5,84.5,优质池,否,否,否,否,综合分未达核心阈值,优质候选,89,可跟踪,10,A 完整历史,High,100,-,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,规则和AI评级不完全一致，可作为人工复核优先项
688016,CN,心脉医疗,通用,优质池,84.5,88.5,84.5,优质池,否,否,是,否,排雷状态扣分,优质候选,89,优质候选,10,A 完整历史,High,100,排雷需关注,数据质量高；长期ROE达到行业优秀线；ROE波动偏大；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,规则与AI均认可质量，排雷侧因单项风险给出需关注状态，适合进入人工复核清单
920694,CN,中裕科技,科技,优质池,84.5,88.5,84.5,优质池,否,否,是,否,排雷状态扣分,优质候选,89,优质候选,10,A 完整历史,High,100,排雷需关注,数据质量高；长期ROE达到行业优秀线；ROE波动偏大；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,规则与AI均认可质量，排雷侧因单项风险给出需关注状态，适合进入人工复核清单
300811,CN,铂科新材,通用,优质池,84.5,87.5,84.5,优质池,否,否,否,是,规则AI分歧扣分,可跟踪,83,优质候选,10,A 完整历史,High,100,规则AI分歧,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；经营现金流存在瑕疵；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,AI认为质量突出，规则侧可能因单项风险保守处理
301665,CN,泰禾股份,通用,优质池,84.5,87.5,84.5,优质池,否,否,否,是,规则AI分歧扣分,可跟踪,83,优质候选,10,A 完整历史,High,100,规则AI分歧,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；经营现金流存在瑕疵；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,AI认为质量突出，规则侧可能因单项风险保守处理
002568,CN,百润股份,通用,优质池,84.4,84.4,84.4,优质池,否,否,否,否,综合分未达核心阈值,优质候选,100,可跟踪,10,A 完整历史,High,100,-,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,规则和AI评级不完全一致，可作为人工复核优先项
AOS,US,A.O. Smith Corporation Common Stock,通用,可研究池,74.0,88.4,84.4,优质池,是,是,是,否,短历史封顶生效；排雷状态扣分,优质候选,100,可跟踪,4,C 短历史,Medium,80,短历史封顶；排雷需关注,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长处于可接受区间,规则和AI评级不完全一致，可作为人工复核优先项
FERG,US,Ferguson Enterprises Inc. Common Stock,通用,优质池,78.0,84.4,84.4,优质池,是,是,否,否,短历史封顶生效,优质候选,99,可跟踪,3,C 短历史,Medium,60,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；营收增长处于可接受区间,规则和AI评级不完全一致，可作为人工复核优先项
XOM,US,Exxon Mobil Corporation Common Stock,周期,可研究池,74.0,88.4,84.4,优质池,是,是,是,否,短历史封顶生效；排雷状态扣分,优质候选,99,优质候选,4,C 短历史,Medium,80,短历史封顶；排雷需关注,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；周期行业营收下滑，需结合行业周期位置,规则与AI均认可质量，排雷侧因单项风险给出需关注状态，适合进入人工复核清单；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
300136,CN,信维通信,科技,优质池,84.4,84.4,84.4,优质池,否,否,否,否,综合分未达核心阈值,优质候选,97,可跟踪,10,A 完整历史,High,100,-,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长处于可接受区间,规则和AI评级不完全一致，可作为人工复核优先项
PODD,US,Insulet Corporation - Common Stock,通用,可研究池,74.0,88.4,84.4,优质池,是,是,是,否,短历史封顶生效；排雷状态扣分,优质候选,95,优质候选,4,C 短历史,Medium,80,短历史封顶；排雷需关注,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE波动偏大；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则与AI均认可质量，排雷侧因单项风险给出需关注状态，适合进入人工复核清单；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
CIX,US,CompX International Inc. Common Stock,通用,优质池,78.0,84.4,84.4,优质池,是,是,否,否,短历史封顶生效,优质候选,93,可跟踪,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长偏弱,规则和AI评级不完全一致，可作为人工复核优先项
PAYC,US,"Paycom Software, Inc. Common Stock",科技,可研究池,74.0,88.4,84.4,优质池,是,是,是,否,短历史封顶生效；排雷状态扣分,优质候选,93,优质候选,4,C 短历史,Medium,80,短历史封顶；排雷需关注,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率高于行业舒适区；营收增长达到行业较好水平,规则与AI均认可质量，排雷侧因单项风险给出需关注状态，适合进入人工复核清单；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
TEL,US,TE Connectivity plc Ordinary Shares,科技,可研究池,74.0,88.4,84.4,优质池,是,是,是,否,短历史封顶生效；排雷状态扣分,优质候选,93,优质候选,4,C 短历史,Medium,80,短历史封顶；排雷需关注,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长偏弱,规则与AI均认可质量，排雷侧因单项风险给出需关注状态，适合进入人工复核清单；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
300918,CN,南山智尚,通用,优质池,84.4,84.4,84.4,优质池,否,否,否,否,综合分未达核心阈值,优质候选,89,可跟踪,10,A 完整历史,High,100,-,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,规则和AI评级不完全一致，可作为人工复核优先项
301408,CN,华人健康,通用,优质池,84.4,84.4,84.4,优质池,否,否,否,否,综合分未达核心阈值,优质候选,89,可跟踪,8,B 中等历史,High,100,-,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,规则和AI评级不完全一致，可作为人工复核优先项
601872,CN,招商轮船,通用,优质池,84.4,84.4,84.4,优质池,否,否,否,否,综合分未达核心阈值,优质候选,89,可跟踪,10,A 完整历史,High,100,-,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,规则和AI评级不完全一致，可作为人工复核优先项
603966,CN,法兰泰克,通用,优质池,84.4,84.4,84.4,优质池,否,否,否,否,综合分未达核心阈值,优质候选,89,可跟踪,10,A 完整历史,High,100,-,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,规则和AI评级不完全一致，可作为人工复核优先项
688089,CN,嘉必优,通用,优质池,84.4,84.4,84.4,优质池,否,否,否,否,综合分未达核心阈值,优质候选,89,可跟踪,10,A 完整历史,High,100,-,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,规则和AI评级不完全一致，可作为人工复核优先项
EA,US,Electronic Arts Inc. - Common Stock,科技,优质池,78.0,84.4,84.4,优质池,是,是,否,否,短历史封顶生效,优质候选,89,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；营收增长偏弱,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
GASS,US,"StealthGas, Inc. - common stock",周期,优质池,78.0,84.4,84.4,优质池,是,是,否,否,短历史封顶生效,优质候选,89,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长处于可接受区间,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
