股票,市场,名称,行业,行业模型,核心指标,PE,PB,10年ROE,ROE波动,5年平均FCF,资产负债率,商誉占比,利息覆盖倍数,分红稳定性,5年营收CAGR,数据年数,缺失字段数,数据质量分,数据质量,杠杆风险,结果,分数,规则质量评级,规则质量分,质量理由,原因,AI评级,AI置信度,AI理由,AI风险,AI关注点,AI模型,规则AI分歧,综合观察
000403,CN,派林生物,-,通用,ROE、现金流、资产负债率,-,-,10.8%,6.3%,-,14.6%,-,-,未分红/不适用,7.5%,10,10,100,High,未知,警惕,85,可跟踪,69,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；经营现金流存在瑕疵；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,10年净利润波动较大,可跟踪,Medium,10年ROE均值10.8%尚可，波动6.3%中等；近5年无亏损，仅1年经营现金流为负；资产负债率14.6%极低，财务风险小。但营收CAGR仅7.5%，增长不够突出，且未分红，现金流和商誉数据缺失。,增长动力不足，营收增速偏低；未分红可能反映现金流或治理问题；商誉占比和利息覆盖倍数未知，需警惕潜在减值或偿债风险。,关注未来营收增长趋势、自由现金流改善情况、商誉规模及分红政策变化。,deepseek-chat,否,规则质量评级与AI评级一致
000404,CN,长虹华意,-,通用,ROE、现金流、资产负债率,-,-,16.1%,28.0%,-,61.3%,-,-,未分红/不适用,-2.8%,10,10,100,High,未知,警惕,85,可跟踪,73,数据质量高；长期ROE达到行业优秀线；ROE波动偏大；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长偏弱,10年ROE波动较大,可跟踪,Medium,10年ROE 16.1%尚可，但波动较大（28%）；近5年无亏损且经营现金流持续为正，财务基础稳健；但营收5年CAGR为-2.8%，增长乏力，且未分红，股东回报不足。,营收持续下滑，行业竞争或需求萎缩风险；ROE波动大，盈利稳定性存疑；资产负债率61.3%偏高，财务杠杆风险；无分红记录，可能影响长期投资者信心。,关注营收能否止跌回升；ROE稳定性改善情况；现金流是否持续为正；公司未来分红政策或资本配置计划。,deepseek-chat,否,规则质量评级与AI评级一致
000407,CN,胜利股份,-,通用,ROE、现金流、资产负债率,-,-,3.0%,6.1%,-,45.8%,-,-,未分红/不适用,-2.2%,10,10,100,High,未知,排除,45,排除,20,规则排雷已判定存在硬伤,10年净利润波动较大；长期ROE低于5%,谨慎观察,Medium,10年ROE仅3.0%，且波动较大（6.1%），盈利能力弱且不稳定。营收5年CAGR为-2.2%，增长乏力。虽无亏损和负OCF，但未分红，现金流数据缺失，整体财务质量一般。,低ROE且波动大，营收负增长，盈利能力存疑。未分红可能反映现金流或利润分配问题。资产负债率45.8%尚可，但利息覆盖倍数缺失，需关注偿债能力。,关注未来ROE能否提升至5%以上，营收能否转正增长，以及自由现金流和分红政策变化。,deepseek-chat,轻微,规则和AI评级不完全一致，可作为人工复核优先项
000408,CN,藏格矿业,-,通用,ROE、现金流、资产负债率,-,-,19.7%,13.4%,-,8.3%,-,-,未分红/不适用,-0.3%,10,10,100,High,未知,警惕,70,可跟踪,73,数据质量高；长期ROE达到行业优秀线；ROE波动偏大；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长偏弱,10年ROE波动较大；10年净利润波动较大,可跟踪,Medium,10年ROE均值19.7%较高，但波动较大（13.4%）；净利润波动0.87，稳定性一般；近5年无亏损且经营现金流持续为正，财务基础稳健；资产负债率仅8.3%，财务风险极低。但营收5年CAGR为-0.3%，增长停滞，且未分红，成长性和股东回报不足。,营收负增长，成长性堪忧；ROE波动大，盈利稳定性存疑；未分红可能影响投资者信心；行业属性不明，需关注周期性风险。,关注营收能否恢复增长；ROE波动原因及可持续性；未来分红政策变化；行业竞争格局及公司竞争优势。,deepseek-chat,否,规则质量评级与AI评级一致
000409,CN,云鼎科技,-,科技,营收增长、自由现金流、研发投入效率,-,-,-6.4%,21.9%,-,35.7%,-,-,未分红/不适用,31.7%,10,10,100,High,未知,排除,0,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%,可跟踪,Medium,近5年营收CAGR达31.7%，增长强劲；近5年无亏损，OCF仅1年为负，经营风险较低。但10年ROE为负（-6.4%），波动大（21.9%），且未分红，盈利质量和股东回报不足。,历史ROE为负，盈利能力弱；净利润波动系数3.74，盈利稳定性差；未分红，可能缺乏现金流或再投资效率低。,关注未来ROE能否转正并稳定；营收高增长是否可持续；现金流改善情况；管理层资本配置效率。,deepseek-chat,是,规则排雷较严，AI认为可能存在继续跟踪价值
000410,CN,沈阳机床,-,通用,ROE、现金流、资产负债率,-,-,-43.6%,103.9%,-,51.5%,-,-,未分红/不适用,21.8%,10,10,100,High,未知,排除,0,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%,谨慎观察,Medium,10年ROE为-43.6%，波动极大，近5年亏损2次，经营现金流为负2次，财务质量差。但5年营收CAGR达21.8%，增长较快，需验证增长可持续性及盈利改善情况。,长期亏损，ROE极低且波动大，盈利不稳定；经营现金流多次为负，自由现金流未知；未分红，股东回报差；资产负债率51.5%尚可，但利息覆盖倍数缺失，需关注偿债能力。,关注营收增长是否转化为利润；跟踪经营现金流和自由现金流改善情况；观察资产负债率变化及利息覆盖能力；等待盈利稳定性和ROE回升迹象。,deepseek-chat,轻微,规则和AI评级不完全一致，可作为人工复核优先项
000411,CN,英特集团,-,通用,ROE、现金流、资产负债率,-,-,11.2%,1.4%,-,65.5%,-,-,未分红/不适用,5.9%,10,10,100,High,未知,通过,100,可跟踪,81,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率略高但未构成硬伤；营收增长达到行业较好水平,-,可跟踪,Medium,10年ROE平均11.2%且波动仅1.4%，净利润波动0.74，近5年无亏损且经营现金流持续为正，显示盈利稳定。但资产负债率65.5%偏高，且未分红，增长一般（营收CAGR 5.9%），缺乏自由现金流数据。,资产负债率65.5%偏高，财务杠杆较大；未分红可能影响股东回报；缺乏自由现金流和利息覆盖倍数数据，无法评估偿债能力。,关注自由现金流趋势、利息覆盖倍数、负债结构变化；若营收增长加速或分红政策改善，可提升评级。,deepseek-chat,否,规则质量评级与AI评级一致
000415,CN,渤海租赁,-,通用,ROE、现金流、资产负债率,-,-,-0.2%,9.8%,-,81.3%,-,-,未分红/不适用,18.6%,10,10,100,High,未知,排除,0,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年净利润波动较大；长期ROE低于5%；资产负债率偏高,谨慎观察,Medium,10年ROE均值极低（-0.2%），波动大（9.8%），近5年3次亏损，净利润波动剧烈（287.84），盈利质量差。资产负债率高达81.3%，财务杠杆风险高。营收增长18.6%但未转化为利润，需验证增长可持续性。,高负债率（81.3%）带来偿债风险；盈利不稳定，近5年3次亏损；ROE为负且波动大，股东回报差；未分红，缺乏现金流支撑信号。,关注未来盈利能否持续改善；负债结构及偿债能力；自由现金流是否转正；营收增长能否带动利润。,deepseek-chat,轻微,规则和AI评级不完全一致，可作为人工复核优先项
000417,CN,合百集团,-,通用,ROE、现金流、资产负债率,-,-,4.9%,1.5%,-,52.8%,-,-,未分红/不适用,1.4%,10,10,100,High,未知,排除,60,排除,20,规则排雷已判定存在硬伤,长期ROE低于5%,谨慎观察,Medium,公司10年ROE仅4.9%，盈利能力较弱；营收增长缓慢（5年CAGR 1.4%）；近5年有1年经营现金流为负，现金流稳定性存疑；资产负债率52.8%适中，但未分红且缺乏利息覆盖倍数等关键数据。,盈利能力偏低，ROE不足5%；营收增长停滞；经营现金流偶有负值，可能影响财务弹性；未分红可能反映现金流或盈利分配问题。,关注未来ROE能否提升；营收增长动力来源；经营现金流稳定性；分红政策变化；负债结构及偿债能力。,deepseek-chat,轻微,规则和AI评级不完全一致，可作为人工复核优先项
000419,CN,通程控股,-,通用,ROE、现金流、资产负债率,-,-,5.2%,1.0%,-,31.7%,-,-,未分红/不适用,-4.2%,10,10,100,High,未知,通过,100,谨慎观察,55,数据质量高；长期ROE低于行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长偏弱,-,谨慎观察,Medium,公司10年ROE仅5.2%，且营收持续下滑（5年CAGR -4.2%），成长性差。但财务结构稳健（资产负债率31.7%），无亏损或负经营现金流记录，波动小。分红不适用，自由现金流数据缺失。,营收负增长趋势未扭转，盈利能力偏低（ROE<6%），缺乏分红回报，自由现金流状况不明。,关注营收能否止跌回升，ROE是否改善，以及自由现金流和分红政策变化。,deepseek-chat,否,规则质量评级与AI评级一致
000420,CN,吉林化纤,-,通用,ROE、现金流、资产负债率,-,-,18.6%,31.3%,-,64.0%,-,-,未分红/不适用,11.0%,10,10,100,High,未知,排除,30,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大,谨慎观察,Medium,10年ROE均值18.6%看似不错，但ROE波动高达31.3%，净利润波动剧烈（37.94），近5年有2年亏损，盈利稳定性差。资产负债率64%偏高，且未分红，现金流虽未负但自由现金流数据缺失。营收增长11%尚可，但整体财务质量不够稳健。,盈利波动大，近5年亏损2次，ROE波动超30%，显示经营不稳定。负债率64%偏高，利息覆盖倍数缺失，偿债能力存疑。未分红，股东回报不足。,关注盈利稳定性改善、负债率变化、自由现金流转正情况。需更多季度数据验证增长可持续性及风险控制能力。,deepseek-chat,轻微,规则和AI评级不完全一致，可作为人工复核优先项
000421,CN,南京公用,-,通用,ROE、现金流、资产负债率,-,-,3.8%,3.5%,-,62.0%,-,-,未分红/不适用,18.1%,10,10,100,High,未知,排除,45,排除,20,规则排雷已判定存在硬伤,10年净利润波动较大；长期ROE低于5%,谨慎观察,Medium,10年ROE仅3.8%，波动3.5%，盈利能力弱且不稳定；近5年有1次亏损和1次负经营现金流；资产负债率62%偏高；未分红。但5年营收CAGR达18.1%，增长较快，需进一步验证增长可持续性及现金流改善情况。,盈利能力低下且波动大；负债率较高，财务风险存在；经营现金流曾为负，自由现金流数据缺失；无分红记录，股东回报不足。,关注未来ROE能否提升；经营现金流和自由现金流趋势；营收增长是否带来利润改善；负债率变化及偿债能力。,deepseek-chat,轻微,规则和AI评级不完全一致，可作为人工复核优先项
000422,CN,湖北宜化,-,通用,ROE、现金流、资产负债率,-,-,12.6%,71.3%,-,70.5%,-,-,未分红/不适用,8.5%,10,10,100,High,未知,警惕,55,可跟踪,73,数据质量高；长期ROE达到行业优秀线；ROE波动偏大；净利润波动偏大；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率略高但未构成硬伤；营收增长达到行业较好水平,10年ROE波动较大；10年净利润波动较大；资产负债率偏高,谨慎观察,Medium,ROE 12.6%尚可，但波动极大（71.3%），净利润波动也高（74.69），显示盈利不稳定。资产负债率70.5%偏高，财务杠杆风险较大。近5年无亏损且经营现金流为正，但未分红，现金流质量待查。营收增长8.5%一般。,高负债率（70.5%）增加偿债压力；ROE和净利润高波动，盈利稳定性差；未分红可能反映现金流紧张或再投资需求大。,关注负债结构及利息覆盖倍数；分析现金流是否足以支持运营和偿债；观察盈利波动原因及未来稳定性。,deepseek-chat,轻微,规则和AI评级不完全一致，可作为人工复核优先项
000423,CN,东阿阿胶,-,通用,ROE、现金流、资产负债率,-,-,16.1%,13.1%,-,22.6%,-,-,未分红/不适用,14.9%,10,10,100,High,未知,警惕,85,优质候选,89,数据质量高；长期ROE达到行业优秀线；ROE波动偏大；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,10年ROE波动较大,优质候选,High,10年ROE均值16.1%，盈利能力强且稳定；净利润波动低（0.79），无亏损和负经营现金流记录；资产负债率仅22.6%，财务风险极低；5年营收CAGR达14.9%，增长稳健。整体财务质量优秀，值得优先研究。,ROE波动13.1%略高，需关注盈利稳定性；分红不适用，可能影响收益型投资者；行业竞争或政策变化可能影响增长持续性。,关注ROE波动原因及未来趋势；营收增长可持续性；现金流状况及分红政策变化；行业竞争格局。,deepseek-chat,否,规则质量评级与AI评级一致
000425,CN,徐工机械,-,通用,ROE、现金流、资产负债率,-,-,9.4%,4.2%,-,64.0%,-,-,未分红/不适用,-3.6%,10,10,100,High,未知,通过,100,可跟踪,73,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长偏弱,-,谨慎观察,Medium,ROE长期偏低（9.4%），且波动较大（4.2%），营收负增长（-3.6%），资产负债率较高（64%），未分红。但净利润和经营现金流连续5年为正，无亏损记录，数据质量高。,营收持续下滑，成长性不足；高负债率增加财务风险；未分红可能反映现金流紧张或再投资需求；ROE波动大，盈利稳定性存疑。,关注营收能否止跌回升；负债率变化趋势；未来分红政策；ROE改善迹象；行业周期与公司竞争力。,deepseek-chat,轻微,规则和AI评级不完全一致，可作为人工复核优先项
000426,CN,兴业银锡,-,通用,ROE、现金流、资产负债率,-,-,7.4%,9.0%,-,40.8%,-,-,未分红/不适用,29.0%,10,10,100,High,未知,警惕,85,可跟踪,81,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；净利润波动偏大；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,10年净利润波动较大,可跟踪,Medium,10年ROE均值7.4%偏低，但波动较小（9.0%），净利润波动1.35，近5年无亏损且经营现金流持续为正，显示一定稳定性。营收5年CAGR达29.0%，增长强劲。资产负债率40.8%适中。但未分红且自由现金流数据缺失，需关注现金流质量。,ROE偏低，资本回报效率不高；未分红可能影响股东回报；自由现金流数据缺失，需验证盈利现金含量；行业属性未明，可能受周期影响。,关注自由现金流趋势及资本开支需求；验证营收高增长的可持续性；跟踪ROE能否提升；了解行业周期及公司竞争地位。,deepseek-chat,否,规则质量评级与AI评级一致
000428,CN,华天酒店,-,通用,ROE、现金流、资产负债率,-,-,-8.7%,9.3%,-,82.3%,-,-,未分红/不适用,-2.9%,10,10,100,High,未知,排除,0,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年净利润波动较大；长期ROE低于5%；资产负债率偏高,排除,High,10年ROE为-8.7%，近5年亏损4次，盈利能力极差且不稳定；资产负债率82.3%偏高，财务风险大；营收持续下滑（5年CAGR -2.9%），缺乏增长动力。,持续亏损导致净资产侵蚀；高负债率增加偿债压力；营收下滑反映主业萎缩；无分红记录，股东回报差。,关注能否扭亏为盈、负债率是否下降、营收是否止跌回升。,deepseek-chat,否,规则质量评级与AI评级一致
000429,CN,粤高速Ａ,-,通用,ROE、现金流、资产负债率,-,-,15.7%,3.3%,-,47.0%,-,-,未分红/不适用,-4.1%,10,10,100,High,未知,通过,100,可跟踪,87,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长偏弱,-,可跟踪,Medium,10年ROE 15.7%且波动小，净利润和OCF连续5年为正，财务稳健。但营收5年CAGR为-4.1%，增长乏力，且未分红，成长性和股东回报不足。,营收持续下滑，可能反映行业或公司竞争力减弱；未分红可能影响投资者信心；资产负债率47%适中，但需关注债务结构。,关注营收下滑趋势能否逆转；未来分红政策变化；新项目或成本控制对利润的影响。,deepseek-chat,否,规则质量评级与AI评级一致
000498,CN,山东路桥,-,通用,ROE、现金流、资产负债率,-,-,14.9%,4.0%,-,76.5%,-,-,未分红/不适用,4.5%,10,10,100,High,未知,警惕,85,谨慎观察,50,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；经营现金流多次为负；自由现金流数据缺失，评级保守；资产负债率高于行业舒适区；营收增长达到行业较好水平,资产负债率偏高,谨慎观察,Medium,ROE 14.9%尚可，波动较小，但资产负债率76.5%偏高，近5年经营现金流为负次数达3次，自由现金流未披露，分红不适用，财务稳健性存疑。,高负债率76.5%增加财务风险；经营现金流多次为负，可能影响偿债能力；无分红记录，股东回报不足。,关注未来现金流改善情况、负债率变化趋势及盈利质量；需更多数据验证自由现金流和利息覆盖倍数。,deepseek-chat,否,规则质量评级与AI评级一致
000501,CN,武商集团,-,通用,ROE、现金流、资产负债率,-,-,8.6%,6.9%,-,64.1%,-,-,未分红/不适用,-3.9%,10,10,100,High,未知,通过,100,可跟踪,73,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长偏弱,-,谨慎观察,Medium,ROE仅8.6%且波动较大（6.9%），营收持续下滑（5年CAGR -3.9%），资产负债率64.1%偏高，未分红。但无亏损和负经营现金流记录，财务数据质量高。,营收负增长趋势未扭转，高负债率可能限制财务弹性，ROE偏低且波动大，缺乏分红回报。,关注营收能否企稳、负债率变化、ROE改善趋势及未来分红政策。,deepseek-chat,轻微,规则和AI评级不完全一致，可作为人工复核优先项
000503,CN,国新健康,-,通用,ROE、现金流、资产负债率,-,-,-18.0%,22.5%,-,44.0%,-,-,未分红/不适用,8.5%,10,10,100,High,未知,排除,0,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%,排除,High,连续10年ROE为负（-18%），近5年全部亏损且经营现金流持续为负，自由现金流缺失，无分红记录。财务质量极差，缺乏持续经营能力。,持续亏损、经营现金流为负、无自由现金流、无分红，公司造血能力严重不足，存在持续经营风险。,需关注扭亏为盈的明确信号、经营现金流转正、以及可持续的盈利模式。,deepseek-chat,否,规则质量评级与AI评级一致
000505,CN,京粮控股,-,通用,ROE、现金流、资产负债率,-,-,12.2%,25.3%,-,47.5%,-,-,未分红/不适用,-9.6%,10,10,100,High,未知,警惕,55,排除,24,数据质量高；长期ROE达到行业优秀线；ROE波动偏大；净利润波动偏大；近5年出现亏损；经营现金流存在瑕疵；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长偏弱,10年ROE波动较大；10年净利润波动较大；近5年营收增长偏弱,谨慎观察,Medium,ROE均值12.2%尚可，但波动较大（25.3%），近5年有1次亏损、2次经营现金流为负，营收持续下滑（CAGR -9.6%），且未分红，财务稳定性存疑。,营收负增长趋势明显，盈利波动大，现金流不稳定，可能面临行业或经营困境。无分红记录，股东回报不足。,关注营收能否止跌回升、现金流改善情况、以及公司是否有转型或重组计划。,deepseek-chat,轻微,规则和AI评级不完全一致，可作为人工复核优先项
000506,CN,招金黄金,-,通用,ROE、现金流、资产负债率,-,-,-0.9%,38.5%,-,49.6%,-,-,未分红/不适用,-12.7%,10,10,100,High,未知,排除,0,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；近5年营收增长偏弱,谨慎观察,Medium,10年ROE为负（-0.9%），波动极大（38.5%），近5年2次亏损，2次经营现金流为负，营收5年CAGR为-12.7%，显示盈利能力差且不稳定。资产负债率49.6%尚可，但无分红记录。整体财务质量较弱，需更多数据验证。,盈利能力持续为负且波动大；营收负增长；现金流不稳定；无分红记录。,关注未来ROE能否转正、营收增长趋势、现金流改善情况、行业周期变化。,deepseek-chat,轻微,规则和AI评级不完全一致，可作为人工复核优先项
000507,CN,珠海港,-,通用,ROE、现金流、资产负债率,-,-,5.0%,1.0%,-,54.5%,-,-,未分红/不适用,-9.5%,10,10,100,High,未知,警惕,85,谨慎观察,55,数据质量高；长期ROE低于行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长偏弱,近5年营收增长偏弱,谨慎观察,Medium,公司10年ROE仅5.0%，且营收5年CAGR为-9.5%，增长乏力。但ROE波动小（1.0%），近5年无亏损且经营现金流持续为正，财务稳定性尚可。资产负债率54.5%适中，但未分红且缺乏FCF数据，需关注现金流质量。,营收持续下滑（-9.5% CAGR）可能反映行业或竞争劣势；低ROE（5.0%）表明资本回报效率低；未分红可能影响股东回报；缺乏FCF和利息覆盖倍数数据，无法评估偿债能力。,关注营收下滑趋势是否改善；ROE能否提升；未来是否开始分红或回购；获取FCF和利息覆盖数据以评估现金流和偿债能力。,deepseek-chat,否,规则质量评级与AI评级一致
000509,CN,华塑控股,-,通用,ROE、现金流、资产负债率,-,-,-45.5%,106.8%,-,78.1%,-,-,未分红/不适用,26.5%,10,10,100,High,未知,排除,0,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；资产负债率偏高,排除,High,10年ROE为-45.5%，波动极大（106.8%），近5年亏损4次，经营现金流2次为负，资产负债率78.1%偏高，且未分红。财务质量极差，风险显著。,持续亏损风险：近5年4次亏损，盈利能力极弱；高负债风险：资产负债率78.1%，偿债压力大；现金流风险：经营现金流多次为负，自由现金流未披露；无分红记录，股东回报差。,关注未来能否扭亏为盈、负债率是否下降、经营现金流是否转正。若营收增长可持续且盈利改善，可重新评估。,deepseek-chat,否,规则质量评级与AI评级一致
000510,CN,新金路,-,通用,ROE、现金流、资产负债率,-,-,12.2%,31.4%,-,52.2%,-,-,未分红/不适用,-13.6%,10,10,100,High,未知,排除,15,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；近5年营收增长偏弱,排除,High,近5年3次亏损，3次经营现金流为负，营收5年CAGR为-13.6%，ROE波动高达31.4%，净利润波动剧烈，财务质量明显较弱。,持续亏损风险，现金流紧张，营收下滑趋势，高波动性，无分红记录。,关注营收能否止跌回升，经营现金流能否转正，以及盈利能力改善迹象。,deepseek-chat,否,规则质量评级与AI评级一致
000513,CN,丽珠集团,-,通用,ROE、现金流、资产负债率,-,-,17.5%,11.9%,-,35.2%,-,-,未分红/不适用,-0.1%,10,10,100,High,未知,通过,100,可跟踪,87,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长偏弱,-,可跟踪,High,10年ROE 17.5%且波动较小，净利润波动低，无亏损和负经营现金流，资产负债率35.2%较低，财务质量稳健。但5年营收CAGR为-0.1%，增长停滞，分红不适用，缺乏成长性亮点。,营收增长停滞，可能面临行业竞争或产品周期瓶颈；未分红可能影响投资者回报预期；需关注未来增长驱动因素。,关注营收能否恢复增长；新药或新产品线进展；分红政策变化；现金流和资本开支情况。,deepseek-chat,否,规则质量评级与AI评级一致
000514,CN,渝 开 发,-,通用,ROE、现金流、资产负债率,-,-,13.4%,25.6%,-,45.1%,-,-,未分红/不适用,-11.5%,10,10,100,High,未知,警惕,55,排除,32,数据质量高；长期ROE达到行业优秀线；ROE波动偏大；近5年出现亏损；经营现金流存在瑕疵；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长偏弱,10年ROE波动较大；10年净利润波动较大；近5年营收增长偏弱,谨慎观察,Medium,10年ROE均值13.4%尚可，但波动较大（25.6%），近5年有1次亏损和1次经营现金流为负，营收持续下滑（5年CAGR -11.5%），且无分红记录。财务质量一般，增长前景不明。,营收持续负增长，盈利能力不稳定，净利润波动大，无分红可能反映现金流或治理问题。资产负债率45.1%适中，但利息覆盖倍数缺失需关注。,关注营收能否止跌回升，经营现金流稳定性，以及未来分红政策变化。需更多季度数据验证盈利趋势。,deepseek-chat,轻微,规则和AI评级不完全一致，可作为人工复核优先项
000516,CN,国际医学,-,通用,ROE、现金流、资产负债率,-,-,7.7%,34.9%,-,69.0%,-,-,未分红/不适用,8.7%,10,10,100,High,未知,排除,30,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大,谨慎观察,Medium,10年ROE仅7.7%且波动大（34.9%），近5年连续亏损，净利润波动极高（12.66），资产负债率69%偏高，未分红。营收增长尚可（CAGR 8.7%），但盈利能力弱且不稳定。,持续亏损风险：近5年每年亏损；高负债率69%可能增加财务压力；ROE波动大，盈利不稳定；无分红记录，股东回报差。,关注扭亏为盈的拐点信号；负债率变化及现金流改善情况；营收增长能否转化为利润；行业竞争格局变化。,deepseek-chat,轻微,规则和AI评级不完全一致，可作为人工复核优先项
000517,CN,荣安地产,-,地产,净负债率、现金短债比、资产负债率,-,-,6.5%,17.8%,-,56.2%,-,-,未分红/不适用,-25.6%,10,10,100,High,未知,排除,15,排除,20,规则排雷已判定存在硬伤,地产需补充净负债率/现金短债比专项数据；10年ROE波动较大；10年净利润波动较大；近5年营收明显下滑,谨慎观察,Medium,ROE仅6.5%且波动大（17.8%），净利润波动系数2.75，近5年亏损2次，营收5年CAGR为-25.6%，显示盈利不稳定且业务收缩。资产负债率56.2%尚可，但地产行业高杠杆风险需关注。未分红，现金流数据缺失。,盈利波动大，营收持续下滑，行业下行周期中可能面临资产减值或流动性压力。未分红表明现金流或利润分配策略保守，需验证自由现金流状况。,关注未来营收能否企稳、净利润是否持续改善、自由现金流及负债结构变化。需更多季报数据验证经营拐点。,deepseek-chat,轻微,规则和AI评级不完全一致，可作为人工复核优先项
000519,CN,中兵红箭,-,通用,ROE、现金流、资产负债率,-,-,7.5%,12.2%,-,45.5%,-,-,未分红/不适用,5.4%,10,10,100,High,未知,警惕,70,谨慎观察,54,数据质量高；长期ROE达到行业基本线；ROE波动偏大；近5年出现亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,10年ROE波动较大；10年净利润波动较大,谨慎观察,Medium,ROE仅7.5%且波动大（12.2%），近5年有1次亏损，净利润波动系数1.17，盈利稳定性不足。营收增长缓慢（5年CAGR 5.4%），且未分红，现金流数据缺失。资产负债率45.5%尚可，但整体财务质量一般。,盈利波动风险：ROE波动大且曾亏损；增长风险：营收增速低；现金流风险：FCF数据缺失，OCF虽未负但需验证；分红风险：未分红，股东回报不明确。,关注未来ROE能否提升并稳定；跟踪营收增长动力；获取完整现金流数据（FCF、利息覆盖倍数）；观察分红政策变化。,deepseek-chat,否,规则质量评级与AI评级一致
000520,CN,凤凰航运,-,周期,利润波动、ROE波动、资本开支周期,-,-,4.9%,12.0%,-,39.5%,-,-,未分红/不适用,-5.2%,10,10,100,High,未知,排除,0,排除,20,规则排雷已判定存在硬伤,周期行业利润弹性过大；10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；近5年营收增长偏弱,谨慎观察,Medium,10年ROE仅4.9%，波动大（12%），近5年3次亏损，营收负增长（-5.2%），盈利能力弱且不稳定。资产负债率39.5%尚可，但无分红记录，现金流数据缺失。,持续亏损风险高，营收下滑趋势未扭转，自由现金流为负，缺乏分红回报，行业前景不明。,关注营收能否止跌、扭亏为盈进展、自由现金流改善情况、管理层战略调整。,deepseek-chat,轻微,规则和AI评级不完全一致，可作为人工复核优先项
000521,CN,长虹美菱,-,通用,ROE、现金流、资产负债率,-,-,18.4%,28.0%,-,70.9%,-,-,未分红/不适用,14.0%,10,10,100,High,未知,警惕,55,可跟踪,81,数据质量高；长期ROE达到行业优秀线；ROE波动偏大；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率略高但未构成硬伤；营收增长达到行业较好水平,10年ROE波动较大；10年净利润波动较大；资产负债率偏高,可跟踪,Medium,10年ROE 18.4%较高，近5年无亏损且经营现金流持续为正，营收增长14%稳健。但ROE波动28%较大，资产负债率70.9%偏高，且未分红，财务稳定性一般。,高负债率70.9%增加财务风险；ROE波动大反映盈利不稳定；未分红可能影响股东回报。,关注负债率变化趋势、ROE稳定性改善、未来分红政策及现金流质量。,deepseek-chat,否,规则质量评级与AI评级一致
