股票,市场,名称,行业,行业模型,核心指标,PE,PB,10年ROE,ROE波动,5年平均FCF,资产负债率,商誉占比,利息覆盖倍数,分红稳定性,5年营收CAGR,数据年数,缺失字段数,数据质量分,数据质量,杠杆风险,结果,分数,规则质量评级,规则质量分,质量理由,原因,AI评级,AI置信度,AI理由,AI风险,AI关注点,AI模型,规则AI分歧,综合观察
DCOM,US,"Dime Community Bancshares, Inc. Common Stock",Banks - Regional,银行,不良率、拨备覆盖、资本充足率,13.42,1.14,7.6%,4.5%,162953250.00,90.4%,1.0%,-,未分红/不适用,2.7%,4,6,80,Medium,中,排除,15,排除,20,规则排雷已判定存在硬伤,银行需补充不良率/拨备/资本充足率专项数据；长期ROE偏低但PE不低；资产负债率过高；资产负债率相对偏高；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
DCOY,US,Decoy Therapeutics Inc. - Common Stock,Biotechnology,科技,营收增长、自由现金流、研发投入效率,0.04,0.42,-280.8%,70.4%,-12249754.50,46.7%,-,-,未分红/不适用,-,4,6,80,Medium,低,排除,0,排除,20,规则排雷已判定存在硬伤,科技公司自由现金流为负；PB低但近5年出现亏损；PB低但近5年经营现金流多次为负；10年内亏损年份过多；10年ROE波动较大；长期ROE低于5%；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
DCTH,US,"Delcath Systems, Inc. - Common Stock",Medical Devices,通用,ROE、现金流、资产负债率,1103.00,3.37,71.2%,391.9%,-13684750.00,10.0%,-,-,未分红/不适用,215.3%,4,6,80,Medium,低,排除,15,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；近5年自由现金流多次为负；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
DCX,US,Digital Currency X Technology Inc. - Class A Ordinary Shares,Auto Manufacturers,科技,营收增长、自由现金流、研发投入效率,0.01,-0.00,137.9%,153.5%,-21227500.00,130.9%,0.6%,-3.16,未分红/不适用,-32.3%,4,0,80,Medium,低,排除,0,排除,20,规则排雷已判定存在硬伤,科技公司营收增长转负；科技公司自由现金流为负；PB低但近5年出现亏损；PB低但近5年经营现金流多次为负；10年内亏损年份过多；10年ROE波动较大；近5年自由现金流多次为负；资产负债率过高；利息覆盖倍数过低；近5年营收明显下滑；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
DD,US,"DuPont de Nemours, Inc. Common Stock",Specialty Chemicals,周期,利润波动、ROE波动、资本开支周期,129.76,1.44,5.3%,11.8%,-74750000.00,34.6%,36.7%,1.64,未分红/不适用,-19.3%,4,6,80,Medium,低,排除,0,排除,20,规则排雷已判定存在硬伤,周期行业利润弹性过大；10年净利润波动较大；长期ROE偏低但PE不低；商誉占比偏高；利息覆盖倍数偏低；近5年营收明显下滑；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
DDC,US,DDC Enterprise Limited Class A Ordinary Shares,Packaged Foods,消费,ROE、毛利率稳定性、分红稳定性,-,0.79,-212.2%,212.7%,-244370767.50,60.5%,0.4%,-14.82,未分红/不适用,15.1%,4,6,80,Medium,低,排除,0,排除,20,规则排雷已判定存在硬伤,消费公司长期ROE不够突出；PB低但近5年出现亏损；PB低但近5年经营现金流多次为负；10年内亏损年份过多；10年ROE波动较大；长期ROE低于5%；近5年自由现金流多次为负；利息覆盖倍数过低；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
DDD,US,3D Systems Corporation Common Stock,Computer Hardware,科技,营收增长、自由现金流、研发投入效率,6.86,1.88,-58.5%,70.7%,-89396500.00,53.5%,3.0%,10.61,未分红/不适用,-10.4%,4,6,80,Medium,低,排除,0,排除,20,规则排雷已判定存在硬伤,科技公司营收增长转负；科技公司自由现金流为负；10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；近5年自由现金流多次为负；近5年营收增长偏弱；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
DDOG,US,"Datadog, Inc. - Class A Common Stock",Software - Application,科技,营收增长、自由现金流、研发投入效率,530.60,18.46,2.1%,4.3%,660221500.00,43.8%,8.0%,12.49,未分红/不适用,26.9%,4,6,80,Medium,低,排除,45,排除,20,规则排雷已判定存在硬伤,10年净利润波动较大；长期ROE低于5%；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
DDS,US,"Dillard's, Inc. Common Stock",Department Stores,通用,ROE、现金流、资产负债率,14.79,4.73,41.1%,11.1%,703033250.00,49.2%,-,17.93,未分红/不适用,-2.1%,4,6,80,Medium,低,通过,85,优质候选,93,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长偏弱,数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
DE,US,Deere & Company Common Stock,Farm & Heavy Construction Machinery,周期,利润波动、ROE波动、资本开支周期,31.65,5.77,33.1%,11.3%,3173000000.00,75.5%,4.0%,2.97,未分红/不适用,-4.5%,4,6,80,Medium,中,警惕,55,优质候选,95,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率略高但未构成硬伤；营收增长处于可接受区间,资产负债率偏高；利息覆盖倍数偏低；资产负债率相对偏高；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
DEA,US,"Easterly Government Properties, Inc. Common Stock",REIT - Office,地产,净负债率、现金短债比、资产负债率,104.64,0.82,1.6%,0.7%,-,59.5%,-,1.18,未分红/不适用,4.6%,4,6,80,Medium,低,排除,5,排除,20,规则排雷已判定存在硬伤,地产需补充净负债率/现金短债比专项数据；长期ROE低于5%；利息覆盖倍数过低；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
DEC,US,Diversified Energy Company Common Stock,Oil & Gas Integrated,周期,利润波动、ROE波动、资本开支周期,2.02,1.26,136.5%,192.8%,241858250.00,83.9%,-,2.44,未分红/不适用,-5.7%,4,6,80,Medium,中,警惕,0,谨慎观察,54,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；近5年出现亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率高于行业舒适区；周期行业营收下滑，需结合行业周期位置,周期行业ROE波动显著；周期行业利润弹性过大；10年ROE波动较大；10年净利润波动较大；资产负债率偏高；利息覆盖倍数偏低；近5年营收增长偏弱；资产负债率相对偏高；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
DECK,US,Deckers Outdoor Corporation Common Stock,Footwear & Accessories,通用,ROE、现金流、资产负债率,13.29,5.10,33.3%,4.7%,619976000.00,29.6%,0.4%,354.51,未分红/不适用,16.5%,4,0,80,Medium,低,通过,85,优质候选,100,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,数据质量为Medium，筛选结果置信度中等,优质候选,High,ROE高达33.3%且波动仅4.7%，净利润波动低，连续5年无亏损且经营现金流均为正，自由现金流充裕（年均6.2亿），资产负债率低（29.6%），商誉极少（0.4%），利息覆盖倍数极高（354.5），营收复合增长16.5%，财务质量优秀且稳定。,未分红可能影响部分投资者偏好；行业竞争激烈，需关注市场份额变化；增长依赖品牌热度，若消费者偏好转变可能影响业绩。,关注营收增长可持续性、毛利率趋势、库存周转率、品牌竞争力及管理层战略执行。,deepseek-chat,否,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
DEFT,US,"Defi Technologies, Inc. - Common Stock",Capital Markets,金融,杠杆、资产质量、资本约束,4.24,1.90,-113.7%,116.0%,-100384893.00,81.9%,4.3%,14.59,未分红/不适用,-17.8%,4,6,80,Medium,高,排除,0,排除,20,规则排雷已判定存在硬伤,金融行业需专项资产质量与资本约束分析；10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；近5年营收明显下滑；高杠杆行业，需资产负债表专项分析；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
DEI,US,"Douglas Emmett, Inc. Common Stock",REIT - Office,地产,净负债率、现金短债比、资产负债率,-,1.03,1.0%,2.3%,179099000.00,62.6%,-,0.96,未分红/不适用,0.3%,4,6,80,Medium,中,排除,0,排除,20,规则排雷已判定存在硬伤,地产需补充净负债率/现金短债比专项数据；10年净利润波动较大；长期ROE低于5%；利息覆盖倍数过低；资产负债率相对偏高；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
DELL,US,Dell Technologies Inc. Class C Common Stock,Computer Hardware,科技,营收增长、自由现金流、研发投入效率,27.85,-63.88,-195.1%,101.2%,4225750000.00,102.4%,19.3%,5.66,未分红/不适用,3.5%,4,6,80,Medium,低,排除,5,排除,20,规则排雷已判定存在硬伤,10年ROE波动较大；长期ROE低于5%；资产负债率过高；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
DEO,US,Diageo plc Common Stock,Beverages - Wineries & Distilleries,消费,ROE、毛利率稳定性、分红稳定性,18.87,70.51,37.6%,11.3%,2813750000.00,73.3%,6.0%,4.20,未分红/不适用,-0.4%,4,6,80,Medium,中,警惕,70,谨慎观察,63,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE波动偏大；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率高于行业舒适区；营收增长偏弱,资产负债率偏高；资产负债率相对偏高；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
DERM,US,Journey Medical Corporation - Common Stock,Drug Manufacturers - Specialty & Generic,通用,ROE、现金流、资产负债率,-,5.34,-75.6%,69.7%,-19140333.33,66.3%,-,-2.07,未分红/不适用,-5.7%,4,6,80,Medium,低,排除,0,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年ROE波动较大；长期ROE低于5%；利息覆盖倍数过低；近5年营收增长偏弱；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
DETX,US,"Liberty Defense Holdings, Ltd. - Common Shares",Security & Protection Services,通用,ROE、现金流、资产负债率,-,-2.81,458.7%,846.6%,-7404482.25,110.5%,-,-9.93,未分红/不适用,-,4,0,80,Medium,低,排除,0,排除,20,规则排雷已判定存在硬伤,PB低但近5年出现亏损；PB低但近5年经营现金流多次为负；10年内亏损年份过多；10年ROE波动较大；近5年自由现金流多次为负；资产负债率过高；利息覆盖倍数过低；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
DEVS,US,DevvStream Corp. - Common Stock,Pollution & Treatment Controls,通用,ROE、现金流、资产负债率,-,-0.05,2737.4%,5363.6%,-,265.0%,-,-17.28,未分红/不适用,-,4,0,80,Medium,低,排除,0,排除,20,规则排雷已判定存在硬伤,PB低但近5年出现亏损；PB低但近5年经营现金流多次为负；10年内亏损年份过多；10年ROE波动较大；资产负债率过高；利息覆盖倍数过低；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
DFDV,US,DeFi Development Corp. - Common Stock,Asset Management,通用,ROE、现金流、资产负债率,-,1.41,-112.6%,85.5%,-79774870.33,67.7%,0.2%,-7.26,未分红/不适用,74.3%,4,6,80,Medium,中,排除,0,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；近5年自由现金流多次为负；利息覆盖倍数过低；资产负债率相对偏高；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
DFH,US,"Dream Finders Homes, Inc. Class A Common Stock",Residential Construction,周期,利润波动、ROE波动、资本开支周期,7.66,0.85,24.7%,8.2%,-18018500.00,57.0%,10.1%,-,未分红/不适用,9.0%,4,6,80,Medium,低,排除,45,排除,20,规则排雷已判定存在硬伤,PB低但近5年经营现金流多次为负；近5年自由现金流多次为负；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
DFIN,US,"Donnelley Financial Solutions, Inc. Common Stock",Software - Application,科技,营收增长、自由现金流、研发投入效率,28.14,2.60,20.3%,9.2%,92800000.00,52.6%,50.7%,4.08,未分红/不适用,-2.7%,4,6,80,Medium,低,排除,45,排除,20,规则排雷已判定存在硬伤,科技公司营收增长转负；商誉占比过高；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
DFLI,US,Dragonfly Energy Holdings Corp - Common Stock,Electrical Equipment & Parts,周期,利润波动、ROE波动、资本开支周期,-,1.97,-149.1%,449.7%,-28735000.00,86.7%,-,-2.46,未分红/不适用,-12.1%,4,6,80,Medium,中,排除,0,排除,20,规则排雷已判定存在硬伤,周期行业ROE波动显著；10年内亏损年份过多；10年ROE波动较大；长期ROE低于5%；近5年自由现金流多次为负；资产负债率过高；利息覆盖倍数过低；近5年营收增长偏弱；资产负债率相对偏高；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
DFNS,US,T3 Defense Inc. - Common Stock,Aerospace & Defense,通用,ROE、现金流、资产负债率,0.06,-0.42,-26.1%,294.6%,-3751607.50,22.3%,3.8%,498.47,未分红/不适用,-,4,6,80,Medium,低,排除,0,排除,20,规则排雷已判定存在硬伤,PB低但近5年出现亏损；PB低但近5年经营现金流多次为负；10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
DFSC,US,"DEFSEC Technologies Inc. - common stock, no R/S concurrent with offering",Aerospace & Defense,通用,ROE、现金流、资产负债率,-,1.43,36.4%,698.0%,-9573984.75,39.6%,-,-36.79,未分红/不适用,89.9%,4,6,80,Medium,低,排除,0,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年ROE波动较大；近5年自由现金流多次为负；利息覆盖倍数过低；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
DFTX,US,"Definium Therapeutics, Inc.  - Common Shares",Biotechnology,科技,营收增长、自由现金流、研发投入效率,-,6.25,-65.1%,38.9%,-,24.5%,4.5%,-32.53,未分红/不适用,-,4,6,80,Medium,低,排除,0,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年ROE波动较大；长期ROE低于5%；利息覆盖倍数过低；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
DG,US,Dollar General Corporation Common Stock,Discount Stores,通用,ROE、现金流、资产负债率,14.95,2.65,25.3%,12.8%,1298765750.00,72.5%,14.0%,9.52,未分红/不适用,4.1%,4,6,80,Medium,中,警惕,55,可跟踪,87,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE波动偏大；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率略高但未构成硬伤；营收增长达到行业较好水平,10年ROE波动较大；资产负债率偏高；资产负债率相对偏高；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
DGICA,US,"Donegal Group, Inc. - Class A Common Stock",Insurance - Property & Casualty,保险,偿付能力、久期缺口、投资收益质量,9.71,0.99,5.6%,6.3%,49389042.00,73.2%,0.2%,73.26,未分红/不适用,4.9%,4,6,80,Medium,中,排除,0,排除,20,规则排雷已判定存在硬伤,保险需补充偿付能力/久期缺口专项数据；PB低但近5年出现亏损；10年净利润波动较大；资产负债率偏高；资产负债率相对偏高；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
DGICB,US,"Donegal Group, Inc. - Class B Common Stock",Insurance - Property & Casualty,保险,偿付能力、久期缺口、投资收益质量,10.60,1.08,5.6%,6.3%,49389042.00,73.2%,0.2%,73.26,未分红/不适用,4.9%,4,6,80,Medium,中,需专项分析,25,需专项分析,45,行业需要专项资产质量或资本约束分析,保险需补充偿付能力/久期缺口专项数据；10年净利润波动较大；长期ROE偏低但PE不低；资产负债率偏高；资产负债率相对偏高；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
DGII,US,Digi International Inc. - Common Stock,Communication Equipment,通用,ROE、现金流、资产负债率,55.04,3.52,4.7%,1.2%,63591750.00,31.1%,42.6%,8.90,未分红/不适用,3.5%,4,6,80,Medium,低,排除,20,排除,20,规则排雷已判定存在硬伤,长期ROE低于5%；商誉占比过高；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
DGNX,US,Diginex Limited - Ordinary Shares,Consulting Services,通用,ROE、现金流、资产负债率,-,2.18,18.6%,98.0%,-6476441.00,27.0%,-,-11.71,未分红/不适用,22.1%,4,0,80,Medium,低,排除,5,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年ROE波动较大；利息覆盖倍数过低；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
DGX,US,Quest Diagnostics Incorporated Common Stock,Diagnostics & Research,通用,ROE、现金流、资产负债率,20.62,2.81,14.1%,1.4%,1111500000.00,55.1%,55.1%,5.76,未分红/不适用,3.7%,4,6,80,Medium,低,排除,60,排除,20,规则排雷已判定存在硬伤,商誉占比过高；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
DGXX,US,Digi Power X Inc. - Common Subordinate Voting Shares,Utilities - Independent Power Producers,通用,ROE、现金流、资产负债率,-,4.11,-36.2%,37.1%,-27729191.00,8.1%,-,-,未分红/不适用,12.2%,4,6,80,Medium,低,排除,0,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；近5年自由现金流多次为负；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
DH,US,Definitive Healthcare Corp. - Class A Common Stock,Health Information Services,通用,ROE、现金流、资产负债率,-,0.31,-41.7%,39.6%,37093750.00,48.5%,26.8%,-17.54,未分红/不适用,2.7%,4,6,80,Medium,低,排除,0,排除,20,规则排雷已判定存在硬伤,PB低但近5年出现亏损；10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；商誉占比偏高；利息覆盖倍数过低；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
DHC,US,Diversified Healthcare Trust  - Common Shares of Beneficial Interest,REIT - Healthcare Facilities,地产,净负债率、现金短债比、资产负债率,-,1.22,-12.3%,8.3%,-,61.8%,-,-0.57,未分红/不适用,6.2%,4,6,80,Medium,低,排除,0,排除,20,规则排雷已判定存在硬伤,地产需补充净负债率/现金短债比专项数据；10年内亏损年份过多；长期ROE低于5%；利息覆盖倍数过低；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
DHF,US,BNY Mellon High Yield Strategies Fund Common Stock,Asset Management,通用,ROE、现金流、资产负债率,11.43,0.86,2.3%,10.4%,-,30.2%,-,-,未分红/不适用,302.3%,4,0,80,Medium,低,排除,5,排除,20,规则排雷已判定存在硬伤,PB低但近5年出现亏损；10年净利润波动较大；长期ROE低于5%；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
DHI,US,"D.R. Horton, Inc. Common Stock",Residential Construction,周期,利润波动、ROE波动、资本开支周期,12.70,1.63,21.2%,6.5%,2469275000.00,30.2%,0.5%,-,未分红/不适用,0.8%,4,6,80,Medium,低,通过,85,优质候选,100,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长处于可接受区间,数据质量为Medium，筛选结果置信度中等,优质候选,High,ROE连续4年超20%且波动小，净利润和OCF从未为负，自由现金流充裕，资产负债率低，商誉极少，财务质量优秀。,营收增长缓慢（5年CAGR仅0.8%），行业周期性可能影响未来增长。,关注营收增长能否改善，行业景气度变化，以及管理层资本配置策略。,deepseek-chat,否,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
DHR,US,Danaher Corporation Common Stock,Diagnostics & Research,通用,ROE、现金流、资产负债率,31.38,2.16,9.5%,3.4%,5934500000.00,37.0%,51.7%,16.97,未分红/不适用,-2.7%,4,6,80,Medium,低,排除,60,排除,20,规则排雷已判定存在硬伤,商誉占比过高；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
DHT,US,"DHT Holdings, Inc.",Oil & Gas Midstream,周期,利润波动、ROE波动、资本开支周期,8.56,2.30,14.4%,5.9%,102317250.00,29.3%,0.1%,15.92,未分红/不适用,3.1%,4,6,80,Medium,低,通过,85,优质候选,100,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长处于可接受区间,数据质量为Medium，筛选结果置信度中等,优质候选,High,ROE 14.4%且波动低，净利润波动小，近5年无亏损或负经营现金流，FCF持续为正且充裕。资产负债率29.3%较低，利息覆盖倍数15.92倍，财务风险小。商誉占比极低。营收增长稳定。整体财务质量优秀，稳定性强。,行业周期性可能影响未来盈利；未分红可能降低对收益型投资者吸引力；营收增速仅3.1%，增长不算突出。,关注未来营收增长趋势；跟踪行业周期变化对盈利的影响；观察公司分红政策是否变化。,deepseek-chat,否,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
DHX,US,"DHI Group, Inc. Common Stock",Software - Application,科技,营收增长、自由现金流、研发投入效率,-,1.60,-1.7%,8.5%,10014500.00,49.8%,64.1%,-4.97,未分红/不适用,-5.1%,4,6,80,Medium,低,排除,0,排除,20,规则排雷已判定存在硬伤,科技公司营收增长转负；10年净利润波动较大；长期ROE低于5%；商誉占比过高；利息覆盖倍数过低；近5年营收增长偏弱；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
DHY,US,Credit Suisse High Yield Credit Fund Common Stock,Asset Management,通用,ROE、现金流、资产负债率,14.58,0.82,3.7%,15.2%,-,32.7%,-,-,未分红/不适用,-,4,6,80,Medium,低,排除,0,排除,20,规则排雷已判定存在硬伤,PB低但近5年出现亏损；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
DIBS,US,"1stdibs.com, Inc. - Common Stock",Internet Content & Information,科技,营收增长、自由现金流、研发投入效率,-,1.73,-16.4%,1.9%,-13314750.00,29.2%,3.3%,-,未分红/不适用,-2.6%,4,6,80,Medium,低,排除,0,排除,20,规则排雷已判定存在硬伤,科技公司营收增长转负；科技公司自由现金流为负；10年内亏损年份过多；长期ROE低于5%；近5年自由现金流多次为负；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
DIN,US,"Dine Brands Global, Inc. Common Stock",Restaurants,通用,ROE、现金流、资产负债率,25.90,-1.45,-25.5%,13.8%,73879500.00,115.8%,14.4%,1.32,未分红/不适用,-1.1%,4,6,80,Medium,低,排除,0,排除,20,规则排雷已判定存在硬伤,10年ROE波动较大；长期ROE低于5%；资产负债率过高；利息覆盖倍数过低；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
DINO,US,HF Sinclair Corporation Common Stock,Oil & Gas Refining & Marketing,周期,利润波动、ROE波动、资本开支周期,10.51,1.39,13.9%,13.1%,1649750000.00,44.0%,18.0%,4.37,未分红/不适用,-11.1%,4,6,80,Medium,低,警惕,55,优质候选,99,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；周期行业营收下滑，需结合行业周期位置,10年ROE波动较大；10年净利润波动较大；近5年营收增长偏弱；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
DIOD,US,Diodes Incorporated - Common Stock,Semiconductors,科技,营收增长、自由现金流、研发投入效率,53.50,2.39,10.2%,9.1%,123620000.00,20.8%,7.5%,31.24,未分红/不适用,-9.5%,4,6,80,Medium,低,警惕,55,可跟踪,79,数据质量中等，质量评级需降置信度；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长偏弱,科技公司营收增长转负；10年净利润波动较大；近5年营收增长偏弱；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
DIS,US,Walt Disney Company (The) Common Stock,Entertainment,通用,ROE、现金流、资产负债率,16.44,1.68,5.5%,4.0%,6150000000.00,42.0%,37.1%,7.62,未分红/不适用,4.5%,4,6,80,Medium,低,警惕,55,可跟踪,77,数据质量中等，质量评级需降置信度；长期ROE低于行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,10年净利润波动较大；长期ROE偏低但PE不低；商誉占比偏高；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
DIT,US,AMCON Distributing Company Common Stock,Food Distribution,消费,ROE、毛利率稳定性、分红稳定性,170.21,0.69,8.4%,7.8%,18366431.00,71.1%,1.5%,1.15,未分红/不适用,11.9%,4,6,80,Medium,中,排除,0,排除,20,规则排雷已判定存在硬伤,消费公司长期ROE不够突出；10年净利润波动较大；资产负债率偏高；利息覆盖倍数过低；资产负债率相对偏高；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
DJCO,US,Daily Journal Corp. (S.C.) - Common Stock,Software - Application,科技,营收增长、自由现金流、研发投入效率,6.85,1.63,6.3%,33.4%,5722000.00,28.7%,-,109.68,未分红/不适用,17.5%,4,6,80,Medium,低,警惕,70,排除,43,数据质量中等，质量评级需降置信度；长期ROE达到行业基本线；ROE波动偏大；净利润波动偏大；科技/成长公司有亏损记录，需看亏损是否收窄；经营现金流存在瑕疵；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,10年ROE波动较大；10年净利润波动较大；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
DJT,US,Trump Media & Technology Group Corp. - Common Stock,Internet Content & Information,科技,营收增长、自由现金流、研发投入效率,-,1.93,-147.3%,301.1%,-23213400.00,37.4%,4.6%,-25.03,未分红/不适用,35.8%,4,6,80,Medium,低,排除,0,排除,20,规则排雷已判定存在硬伤,科技公司自由现金流为负；10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；近5年自由现金流多次为负；利息覆盖倍数过低；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
DK,US,"Delek US Holdings, Inc. Common Stock",Oil & Gas Refining & Marketing,周期,利润波动、ROE波动、资本开支周期,-,52.23,-39.4%,94.3%,63175000.00,92.0%,6.9%,1.11,未分红/不适用,-18.5%,4,6,80,Medium,中,排除,0,排除,20,规则排雷已判定存在硬伤,周期行业ROE波动显著；周期行业利润弹性过大；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；资产负债率过高；利息覆盖倍数过低；近5年营收明显下滑；资产负债率相对偏高；数据质量为Medium，筛选结果置信度中等,,,,,,,未评估,暂无AI独立评估
